,a0,a1,a2,I,b1,b2,b3
0,0.02013744687799493,0.08694512604614218,0.014405534723688659,0.8644028363660627,0.029479389850427334,0.19065203754073046,0.11438513804227976
1,-0.008997200267862514,0.08212880135395152,0.0749241804360962,0.9470374499142308,0.16704259671366076,0.26548934639810506,0.19125736827275241
2,-0.00963630098472634,0.0918163801689682,0.07863813522673464,0.9510962425832798,0.16412986342319086,0.26436274632332635,0.19090250819902255
3,-0.010124194498808158,0.09110212447532291,0.08552130428166294,0.9492517578893477,0.1660319110862521,0.2621449194108056,0.19252494750544794
4,-0.003823898675120384,0.07232905520598189,0.09138873628394856,0.9661376475331331,0.21773021431804995,0.2599363474930374,0.1789618314568805
5,-0.003956947142284579,0.07257166378301343,0.09278339704761544,0.9666536850491234,0.21753744273177344,0.2580227914811097,0.17871012368160918
6,-0.005640612791391494,0.07330793261657173,0.10664999103722714,0.973423982380928,0.2295856716929404,0.24625481076145614,0.16962038191644518
7,-0.008476732325530891,0.06085874579813624,0.1023105238318077,0.9717495245200248,0.2500564628911433,0.26760864639769744,0.17736617251583447
8,-0.007676156991542521,0.06869981749056626,0.10260624073875678,0.9770474853392324,0.24509579301379836,0.27269892714808075,0.18391447139087777
9,-0.009838744189389808,0.04741016295363945,0.07428035724246086,0.9762904439618073,0.25716845074547307,0.30173341007856874,0.18769882653133413
10,-0.00964806424950802,0.04857283347343799,0.07105558668675775,0.9768051072514574,0.25642481211052154,0.3040061866687727,0.18830758421496457
11,-0.006793154682144763,0.05385136588265975,0.07516484954505764,0.9794180155070177,0.2561996499181198,0.30281936770183454,0.18575256912962623
12,-0.003572101103731431,0.04661465731236676,0.08076360196748011,0.9786754964785833,0.2660443390337144,0.305806058338988,0.19255610898013328
13,-0.006840520408399336,0.02363308189024585,0.08173711116708408,0.9798491378820945,0.29067712205681356,0.30998591284234966,0.19552391523200352
14,-0.005701770679309796,0.01979122419308319,0.08998109426011755,0.9793689508398041,0.29375233158825553,0.30191541637873226,0.1951587749771883
15,-0.00538840060117385,0.021305912152244713,0.09531041401791607,0.9825453921939145,0.29609657444265897,0.30045532872033076,0.19870844433003806
16,-0.00536285732279721,0.008796983763652316,0.08889877804789507,0.9832694094599955,0.3056317898103754,0.3070089795731339,0.20181446404470973
