,0
0,-1648.3803898091476
1,-1042.047649781544
2,-1202.9102624052807
3,-1605.1628730133248
4,-1902.0802637887593
5,-1897.066982490713
6,-1754.1964254861807
7,-1750.4999848800992
8,-2003.6545456960691
9,-2170.585294099759
10,-2185.3862959794865
11,-2166.285742996399
12,-2113.4482560149063
13,-2162.9075170286824
14,-2230.4116614758073
15,-2147.8239298396684
16,-2231.0561237901916
17,-2240.9982771665454
18,-2253.4616290097906
19,-2251.5410299950295
20,-2273.465417511985
21,-2273.4165821525667
22,-2250.413012955041
23,-2248.7530807488843
24,-2252.4499569344557
25,-2251.2785317218413
26,-2252.164740399191
27,-2259.385878898052
28,-2265.03145159641
29,-2265.169188655072
30,-2281.5295684843845
31,-2267.0011381466174
32,-2277.038329443522
33,-2275.530922847487
34,-2276.282825497709
35,-2281.7363091892253
36,-2280.825749069828
37,-2282.5244052327976
38,-2284.046393983748
39,-2279.867773484293
40,-2280.0273205099893
41,-2280.539007977296
42,-2280.233164910151
43,-2280.3268816753825
44,-2279.45840714132
45,-2282.574400695456
46,-2261.9823398057624
47,-2280.34613214507
48,-2280.3724933564704
49,-2280.294996881717
50,-2280.161737373354
51,-2284.6447319394883
52,-2282.801403416121
53,-2286.3460172537875
54,-2282.184437617864
55,-2283.259751356307
56,-2284.885757693577
57,-2289.021046041857
58,-2287.881989405368
59,-2282.00864509707
60,-2292.686259925293
61,-2288.875004072273
62,-2291.9992158720474
63,-2286.5371322978344
64,-2291.2707190718766
65,-2292.1645715967447
66,-2291.942216140137
67,-2291.505904364017
68,-2290.800905321684
69,-2290.1615184295133
70,-2293.7737187719267
71,-2293.5209725003033
72,-2294.2842857832757
73,-2296.3275792322997
74,-2291.7461771894564
75,-2289.911909335394
76,-2288.2867305089644
77,-2288.79042239135
78,-2288.7798513344414
79,-2291.107540652661
80,-2293.7296661482796
81,-2293.6117385262464
82,-2293.418851951354
83,-2293.787131603745
84,-2294.989077505648
85,-2295.1502827376275
86,-2294.7101047679807
87,-2295.202678402172
88,-2294.077548591285
89,-2294.195920922373
90,-2293.4117011168164
91,-2293.445189667525
92,-2293.798624635253
93,-2295.6710868142195
94,-2294.7919403140672
95,-2294.899680217635
96,-2295.889321544754
97,-2293.821447249141
98,-2296.8355719072374
99,-2297.0214843637405
100,-2295.8093165961677
101,-2292.348404955307
102,-2291.9746509675733
103,-2290.65755051716
104,-2286.4470784124624
105,-2283.0062945936447
106,-2282.981539300629
107,-2283.3305954011585
108,-2281.0955584116177
109,-2286.6655621845657
110,-2290.555299997304
111,-2292.580947241593
112,-2292.464832310374
113,-2291.893422216415
114,-2290.5093762867536
115,-2289.365235331228
116,-2289.2714877739345
117,-2289.255182332394
118,-2290.5187530654216
119,-2290.517407195194
120,-2292.1072959855096
121,-2292.0671793268048
122,-2291.7076590936804
123,-2290.989679934127
124,-2287.7658226175868
125,-2292.642865646693
126,-2293.223211564757
127,-2293.2974404087686
128,-2293.0393944873645
129,-2292.152484325517
130,-2298.572618848807
131,-2299.6532310982425
132,-2299.8963767451028
133,-2299.8681581920555
134,-2298.384981571805
135,-2298.38630873309
136,-2298.1406921682114
137,-2297.925888819796
138,-2295.866623769883
139,-2295.517873164143
140,-2296.594057143838
141,-2296.7189723819383
142,-2296.6260874468226
143,-2296.5060288790773
144,-2296.612751780384
145,-2296.7179537043585
146,-2298.4042459982147
147,-2298.430310997938
148,-2298.9027638231064
149,-2298.8680594066027
150,-2297.3105985378666
151,-2296.4045031359383
152,-2295.4675525029775
153,-2296.611015862078
154,-2295.419395745055
155,-2296.1005330257954
156,-2295.6315189830975
157,-2298.090515539777
158,-2296.3489028922672
159,-2297.351924209898
160,-2296.4589602470637
161,-2296.499481120778
162,-2298.1458397161
163,-2298.2576188375356
164,-2297.216088771155
165,-2297.219934814632
166,-2296.694472020024
167,-2296.6666306532625
168,-2294.9722513525294
169,-2296.1745714942067
170,-2296.4521656134334
171,-2296.8470424812203
172,-2297.83073237549
173,-2297.929836196073
174,-2297.752346624403
175,-2297.7517198362902
176,-2297.9791659728103
177,-2297.8938960548962
178,-2298.328850290028
179,-2299.3471019707317
180,-2299.4779673002395
181,-2299.568144456628
182,-2299.308529323825
183,-2299.901494910906
184,-2300.017819828039
185,-2300.0775327304877
186,-2299.359581831547
187,-2297.633629160139
188,-2297.5294196181444
189,-2297.884533093491
190,-2297.4058452783447
191,-2297.819648066121
192,-2297.52987513609
193,-2297.4348293735147
194,-2298.026759565302
195,-2297.6241167980743
196,-2297.683092674882
197,-2297.3799402762493
198,-2297.586125462136
199,-2298.224614788406
200,-2298.271273816387
201,-2297.9618909944966
202,-2298.2755401226063
203,-2298.737360438963
204,-2298.861797128409
205,-2298.9946892778034
206,-2298.9123577580767
207,-2299.106688056507
208,-2299.2230095328146
209,-2299.2437853039305
210,-2299.187535852984
211,-2299.1920684085444
212,-2299.23947356782
213,-2298.619381220498
214,-2298.1964693965324
215,-2298.4504469517674
216,-2298.7416458664593
217,-2299.303423856738
218,-2299.318796309029
219,-2299.3174318548054
220,-2299.4167402375083
221,-2299.3525225475682
222,-2299.3574369641974
223,-2298.5578676481528
224,-2298.5968950955266
225,-2298.457535671031
226,-2298.8600466187836
227,-2298.0338331710977
228,-2297.7525605668366
229,-2297.48671293224
230,-2297.3556053440207
231,-2297.0188736903556
232,-2296.703614268272
233,-2297.48178906919
234,-2297.2991661289684
235,-2297.0175648885634
236,-2294.4555753980203
237,-2294.503913973579
238,-2294.4260928591398
239,-2294.6512159081794
240,-2294.4381062117172
241,-2293.741086666879
242,-2293.6536366638056
243,-2294.1652677456973
244,-2293.869002242875
245,-2293.706395419637
246,-2293.253242969968
247,-2293.4341253105836
248,-2293.1357467134303
249,-2293.704913462724
250,-2293.9820565308564
251,-2292.888106162796
252,-2292.387358440243
253,-2292.2875577217415
254,-2292.52215743435
255,-2292.8097405635435
256,-2293.3453094605675
257,-2292.727543640096
258,-2292.712817708253
259,-2293.1554462674058
260,-2294.447715737492
261,-2294.432282620696
262,-2293.8871220097226
263,-2293.559728798198
264,-2294.662315321261
265,-2294.7042172226215
266,-2294.827653870208
267,-2294.8308610201702
268,-2294.679248682659
269,-2294.480856111813
270,-2294.494390708903
271,-2295.421332321082
272,-2296.3476751352996
273,-2294.800835224086
274,-2294.5364601732304
275,-2295.6824016252913
276,-2295.432903987942
277,-2295.645907062498
278,-2296.665827899271
279,-2296.8528750934834
280,-2296.9767003912934
281,-2297.516688680892
282,-2297.3712378075647
283,-2297.3710978372505
284,-2297.0035241731603
285,-2296.3563955808363
286,-2296.4912934908016
287,-2296.427999186785
288,-2296.6942491244204
289,-2296.645435339988
290,-2296.9706281445747
291,-2296.6883060841706
292,-2297.193569216227
293,-2296.9350346711876
294,-2298.6154090039836
295,-2298.670855882815
296,-2298.4817124868214
297,-2298.6638905028603
298,-2298.01317815283
299,-2297.8303972537396
300,-2297.8625160309175
301,-2297.8288950039696
302,-2298.4455407705445
303,-2298.4111393988906
304,-2298.65715999788
305,-2298.028296701467
306,-2298.036691020362
307,-2297.8936945727655
308,-2298.1685258216767
309,-2298.2983748674837
310,-2298.1998385862685
311,-2297.688361545447
312,-2297.852239858899
313,-2297.8507676531335
314,-2298.028546965327
315,-2298.932019991126
316,-2298.9594310688
317,-2299.0586150324775
318,-2299.3333203006146
319,-2299.4583533813066
320,-2299.3873970484424
321,-2299.5576393499696
322,-2299.628316793485
323,-2299.665486301287
324,-2299.6688591194616
325,-2299.6384160605876
326,-2299.4976614296347
327,-2299.5022858489674
328,-2299.5071242032286
329,-2299.2729054397273
330,-2299.2723623136635
331,-2299.264358990292
332,-2299.2502890133146
333,-2299.5084012378366
334,-2299.5071932756514
335,-2299.5465219891626
336,-2299.382160899089
337,-2299.2896788251664
338,-2299.2075469684983
339,-2299.1863309229566
340,-2298.7123817046067
341,-2298.9078743841533
342,-2298.9370879879525
343,-2298.7540615252883
344,-2298.768961852428
345,-2298.894426996804
346,-2298.716819201841
347,-2298.654551239578
348,-2299.076324465369
349,-2298.84563333059
350,-2298.9336845348435
351,-2298.892623289517
352,-2298.8963664973016
353,-2297.9833438601445
354,-2297.9650102295514
355,-2297.7962237422576
356,-2297.7674896567387
