,0
0,4803.35481034574
1,0.22400697070734665
2,532.097263453223
3,-1922.177968948185
4,-1906.4455399067504
5,-1723.767012324068
6,-1725.6775709734948
7,-1881.2976895949869
8,-2123.1353205609416
9,-2111.0442145969064
10,-2139.51189073595
11,-2015.9735385760605
12,-2030.7851781731592
13,-2182.3308882793804
14,-2208.8974007747165
15,-2207.8314285922206
16,-2206.0823034100426
17,-2196.98463550942
18,-2243.0876442202166
19,-2266.229347014906
20,-2266.523841597101
21,-2251.0051928037933
22,-2250.7335278165438
23,-2255.556630316431
24,-2253.599344672589
25,-2255.2403868556944
26,-2261.5830880799167
27,-2263.2173050969486
28,-2263.1226097361614
29,-2283.1760870621288
30,-2270.7217655148997
31,-2275.17996469807
32,-2273.6193338548505
33,-2273.8617398480033
34,-2279.8928121914228
35,-2279.885742539822
36,-2282.4223089609086
37,-2282.539618571834
38,-2278.797557509345
39,-2278.4891540110034
40,-2274.8096382418503
41,-2274.7799244641706
42,-2276.705193771379
43,-2276.0777576441255
44,-2276.5937960448287
45,-2255.8026938315656
46,-2269.3076073478833
47,-2269.029802977358
48,-2269.0562154615163
49,-2269.7776160209096
50,-2273.225389725302
51,-2272.6926279590075
52,-2277.6697631077063
53,-2276.673825201483
54,-2278.2349865744054
55,-2279.95980016541
56,-2283.5570126276675
57,-2282.5579503722483
58,-2273.730663241308
59,-2280.190776371561
60,-2276.763816463347
61,-2277.5890692346575
62,-2273.8157421887554
63,-2276.118440041051
64,-2275.9882650756954
65,-2275.4175293630233
66,-2276.618045298852
67,-2276.4467406814993
68,-2275.410469114649
69,-2286.001346853539
70,-2284.71924564132
71,-2285.199050413668
72,-2287.765229850299
73,-2282.8880513853815
74,-2281.5681804877686
75,-2279.1999650205726
76,-2279.3114934250525
77,-2279.5302706926705
78,-2282.3371549406365
79,-2284.976417405171
80,-2285.9274869294372
81,-2285.7932528845686
82,-2286.5253283811835
83,-2286.758816792764
84,-2286.45288463103
85,-2286.419894678884
86,-2285.1199949289303
87,-2284.0890942470205
88,-2284.0103184271284
89,-2285.374014937694
90,-2285.6431016169163
91,-2286.37657559897
92,-2289.3811826705187
93,-2288.2248464034083
94,-2289.0940710572386
95,-2292.6478289442825
96,-2291.6129597890176
97,-2295.3184423449793
98,-2295.590608896376
99,-2294.2206918798215
100,-2290.871838444951
101,-2290.429293762821
102,-2288.7455398175407
103,-2284.036161701887
104,-2280.406676767521
105,-2280.3770056017697
106,-2280.982908512515
107,-2278.511050449223
108,-2283.9762763584245
109,-2288.5223450816497
110,-2290.130099409803
111,-2290.02920347873
112,-2289.708631346581
113,-2288.070905179725
114,-2287.1976402923215
115,-2287.113089417388
116,-2287.1124787976073
117,-2288.71036275908
118,-2288.7267450541317
119,-2290.238898979772
120,-2290.2364306514937
121,-2289.681261056723
122,-2288.9274729456606
123,-2285.5415117490097
124,-2290.6601223083294
125,-2291.333441375917
126,-2291.3803943378693
127,-2291.0982991026804
128,-2290.1456627561097
129,-2296.5687295798975
130,-2297.399422090123
131,-2297.8048687019323
132,-2297.6733285368823
133,-2295.922997763831
134,-2295.7990515773467
135,-2295.5807944598673
136,-2295.288954245365
137,-2293.4935870512554
138,-2293.139379925782
139,-2294.291789167548
140,-2294.41436126733
141,-2294.3898512078085
142,-2294.227484093207
143,-2294.2975932190225
144,-2294.324154920598
145,-2295.9247946379364
146,-2295.955382203264
147,-2296.533363043397
148,-2296.4876301877553
149,-2294.8257803727242
150,-2293.3101774116067
151,-2292.3369949227504
152,-2294.0289236620074
153,-2292.6384738984398
154,-2293.482698033199
155,-2292.918919655353
156,-2295.761045363164
157,-2293.61496018706
158,-2295.0754456110103
159,-2293.9403546992557
160,-2294.0235960253235
161,-2294.5492954924193
162,-2294.921897164977
163,-2294.1122942026154
164,-2294.1057618421364
165,-2293.6981768467354
166,-2293.621187313332
167,-2292.530960120167
168,-2293.5428934622037
169,-2293.873202585517
170,-2294.3740864768793
171,-2295.5847442753725
172,-2295.6419495988475
173,-2295.3333866263406
174,-2295.331418124321
175,-2295.4860869808012
176,-2295.616634268526
177,-2296.1503193734197
178,-2297.237176597704
179,-2297.3756807946943
180,-2297.519366463481
181,-2297.2215639316314
182,-2297.9241389248473
183,-2298.096555882253
184,-2298.6645079885798
185,-2298.250314915618
186,-2296.6068644212532
187,-2296.497607301348
188,-2296.92338947644
189,-2296.442062460016
190,-2296.767340245383
191,-2296.4484314383863
192,-2296.515719425161
193,-2297.2490204070505
194,-2296.9179358706006
195,-2296.9531056521387
196,-2296.6199901513487
197,-2296.4190369617495
198,-2296.810996141543
199,-2296.9224861785965
200,-2296.7254093038955
201,-2296.990525648091
202,-2297.512189539704
203,-2297.454140749048
204,-2297.5223577817055
205,-2297.4854116103625
206,-2297.5528785061742
207,-2297.6462316187612
208,-2297.3275821587586
209,-2297.2714664330397
210,-2297.277919708309
211,-2297.343793823138
