,0
0,3789.214975377894
1,2989.3459382154897
2,1935.1892325393155
3,1665.3721708085923
4,1209.987747253263
5,830.7334491209823
6,791.6505747313125
7,789.6547105754426
8,-385.2294195351149
9,-339.38520212927745
10,-919.8978402876112
11,-1438.5466586121777
12,-1388.4466050317153
13,-1465.808145239824
14,-1584.9345901251054
15,-1913.5176591085594
16,-1944.9717453818841
17,-1920.6718037432795
18,-1921.6900468628753
19,-1995.731883842613
20,-1986.574839353947
21,-1986.771476189078
22,-2036.9228808338817
23,-1998.4257356291077
24,-2002.1445661276134
25,-2040.7267039978947
26,-2155.2727730698193
27,-2152.7475693976035
28,-2150.2453532668733
29,-2152.673843786624
30,-2157.73979318808
31,-2162.0078570307633
32,-2159.7640843861695
33,-2161.2868088662785
34,-2155.8255836966155
35,-2153.8645089161937
36,-2155.0659007684876
37,-2148.9713873227875
38,-2143.824278561476
39,-2180.366602654835
40,-2181.2752591927815
41,-2182.6341022091647
42,-2149.261314112689
43,-2219.796267873899
44,-2220.3293918639006
45,-2221.551426394614
46,-2221.3446814188856
47,-2221.3699287621857
48,-2224.1948315694226
49,-2234.900874626401
50,-2231.1829094669165
51,-2230.89424421417
52,-2238.1633286216297
53,-2254.741371356344
54,-2253.326516854802
55,-2253.897424316962
56,-2246.396876119586
57,-2250.7293121252774
58,-2251.82370338083
59,-2248.805643015443
60,-2259.982443630146
61,-2266.075932503041
62,-2266.2498122944544
63,-2272.2822071461896
64,-2272.1150040744915
65,-2264.985504534857
66,-2275.679167040687
67,-2274.7616215742196
68,-2274.7506775328325
69,-2268.4373399778683
70,-2263.9683250497274
71,-2262.0351332934733
72,-2260.614315036873
73,-2260.754063362222
74,-2262.722715806598
75,-2266.8474524886924
76,-2268.5942309497214
77,-2270.297896627401
78,-2269.963569526643
79,-2270.10265878666
80,-2271.049699884963
81,-2269.599137599876
82,-2269.324057720578
83,-2269.4539506222627
84,-2269.8816872031834
85,-2269.91378354814
86,-2271.957737217746
87,-2272.349766076203
88,-2274.0130893682053
89,-2276.4410267230624
90,-2275.53396788612
91,-2277.1166173614715
92,-2277.325526537765
93,-2276.7710761008643
94,-2279.806809732654
95,-2281.697213487322
96,-2282.0349073733564
97,-2278.960019727581
98,-2279.01866990347
99,-2278.466167620538
100,-2276.083312142491
101,-2272.517091275191
102,-2272.814745055318
103,-2272.8113417427726
104,-2271.369445685733
105,-2276.1382966951605
106,-2279.06036672955
107,-2279.2144809728325
108,-2279.311258793753
109,-2279.58349111129
110,-2278.9302444110617
111,-2276.8691125463197
112,-2276.81386311405
113,-2277.197955515966
114,-2283.3958491471185
115,-2283.397834276251
116,-2285.2171621454786
117,-2284.8781312835317
118,-2285.652523836798
119,-2285.1346808733133
120,-2284.9701062074832
121,-2287.34376992461
122,-2289.5145311243564
123,-2289.6911750435083
124,-2289.6137551598936
125,-2292.5887088917343
126,-2291.875464360919
127,-2292.0111501422834
128,-2292.1209210608818
129,-2292.029467640782
130,-2283.393786814678
131,-2283.319111537727
132,-2282.416598875105
133,-2282.260405607368
134,-2280.5059665059157
135,-2280.4440198849206
136,-2282.0390134405106
137,-2282.610239163482
138,-2280.35525714098
139,-2280.555093686838
140,-2280.435420793202
141,-2280.0949353735073
142,-2280.319100267467
143,-2280.5212821066657
144,-2281.1136830857076
145,-2281.163853770502
146,-2279.005945837384
147,-2278.4898641127793
148,-2277.4420755461233
149,-2278.6271307257603
150,-2276.6710890381237
151,-2278.116577152066
152,-2277.9866507936367
153,-2281.2583791296274
154,-2278.8686105377424
155,-2285.789251414895
156,-2282.4859855273003
157,-2282.7408766525086
158,-2283.9840183953106
159,-2283.8229497972657
160,-2281.001490276069
161,-2281.0853148449446
162,-2280.6912104407565
163,-2280.9293778173646
164,-2275.7929188464595
165,-2275.056413447874
166,-2274.758532510212
167,-2275.6568517967085
168,-2277.5676244338406
169,-2278.1550691266425
170,-2280.0380525810847
171,-2280.05818785561
172,-2279.926676421258
173,-2280.5098940433413
174,-2280.2397316810807
175,-2278.4001823140393
176,-2279.0373714379225
177,-2279.4895493935883
178,-2280.1759649888522
179,-2281.047436149208
180,-2281.011034220186
181,-2279.4350181853365
182,-2279.0003228541655
183,-2279.1106851533327
184,-2279.1376863062656
185,-2279.420817047632
186,-2279.45667886551
187,-2279.6935879880652
188,-2279.4659881403354
189,-2280.4242632806227
190,-2282.0264609903093
191,-2282.7563231944437
192,-2284.2661813726704
193,-2284.1000872779264
194,-2282.981673649265
195,-2285.852105172536
196,-2285.8108406989013
197,-2285.5318347891507
198,-2288.0457784739137
199,-2288.6865633927823
200,-2288.8424379145413
201,-2290.2586020736567
202,-2291.0905889964815
203,-2291.5579785425134
204,-2291.5174848176007
205,-2290.908853433528
206,-2290.890116519856
207,-2290.8946118982763
208,-2290.7964069917193
209,-2291.15212261319
210,-2292.657486101106
211,-2293.0695001861195
212,-2292.3387171714776
213,-2293.3468793825964
214,-2293.5012305745045
215,-2293.444643382537
216,-2293.4982895888697
217,-2293.627176138585
218,-2294.0352206311823
219,-2294.4359635878704
220,-2295.1078652479932
221,-2294.916413368912
222,-2295.1971199884706
223,-2295.323871720503
224,-2295.0709432724925
225,-2295.0479696311777
226,-2294.988418004168
227,-2293.3065469038916
228,-2292.8863504800606
229,-2293.7411714819245
230,-2294.66990357415
231,-2295.3132758254283
232,-2294.000672150782
233,-2293.833316068536
234,-2293.718036774072
235,-2293.771030542763
236,-2292.264030845778
237,-2291.6759226076842
238,-2291.036409274774
239,-2291.880934300742
240,-2292.1197793651836
241,-2292.191707955687
242,-2292.0558119816246
243,-2292.166155559274
244,-2291.7296210898458
245,-2291.244143260513
246,-2291.2955903907655
247,-2290.0868946638825
248,-2290.153056017568
249,-2290.6652491238488
250,-2290.9195883418734
251,-2291.067696745226
252,-2291.002967848359
253,-2290.3521625260264
254,-2290.335639267144
255,-2291.4718392135514
256,-2291.7238258476805
257,-2291.6983741393883
258,-2291.2490406684474
259,-2290.73378592241
260,-2291.57506122174
261,-2291.3149252517906
262,-2291.0142466910634
263,-2290.764456797172
264,-2289.9968640941106
265,-2289.683245522895
266,-2289.684271629083
267,-2290.0386665839355
268,-2290.9011568192086
269,-2291.5409377536416
270,-2291.397956197668
271,-2293.589619820762
272,-2293.3986260407464
273,-2293.395614924157
274,-2293.6385465706085
275,-2293.898843843878
276,-2293.1853126571446
277,-2293.2667404923345
278,-2292.8592596149156
279,-2292.738543329154
280,-2292.9771608420237
281,-2292.777078829575
282,-2292.8433005204943
283,-2292.8524004284586
284,-2292.421193100233
285,-2292.3133994255163
286,-2292.1512967438885
287,-2291.4140868443083
288,-2291.878362256808
289,-2291.3377108299787
290,-2291.821593599635
291,-2291.9642989423687
292,-2291.6687554462255
293,-2292.093435706531
294,-2291.28204452947
295,-2291.2941835419247
296,-2291.483330827148
297,-2291.265808851525
298,-2291.928428564954
299,-2292.056815136126
300,-2292.361705243907
301,-2291.116992271359
302,-2290.9940144022153
303,-2290.905443454881
304,-2291.403364596856
305,-2291.911870630171
306,-2291.988689787397
307,-2291.385404650414
308,-2292.0804169021894
309,-2292.1362702893516
310,-2291.815825078295
311,-2291.1437546098277
312,-2291.200509796913
313,-2291.13145193032
314,-2291.9263581922964
315,-2291.2733380609575
316,-2291.160556638534
317,-2291.5983431603113
318,-2291.550877306418
319,-2291.540565305512
320,-2291.5920620731135
321,-2291.5928726695233
322,-2291.8011220859876
323,-2291.7997525852957
324,-2291.8004441123658
325,-2291.6995598360845
326,-2291.7710983937386
327,-2291.8328912324228
328,-2291.8871215301024
329,-2292.061781040031
330,-2292.2582815831315
331,-2292.5077709971756
332,-2292.4439405773096
333,-2293.897715836157
334,-2294.1265771050607
335,-2294.312700783631
336,-2293.735280064062
337,-2293.7835971984923
338,-2293.614340557857
339,-2293.303334209009
340,-2293.3097199931003
341,-2293.030798245116
342,-2292.7018275527635
343,-2292.684743159001
344,-2294.345273856889
345,-2294.4032420468584
346,-2294.4450248808344
347,-2294.4446253870656
348,-2294.4349043055095
349,-2293.034040644749
350,-2293.0214101879355
351,-2293.330080011676
352,-2293.3082303190195
353,-2293.5874509927817
354,-2293.678069472425
355,-2293.661741095596
356,-2293.6396258099744
357,-2293.8195130038507
358,-2293.884510853804
359,-2293.899240464049
360,-2294.1625445558016
361,-2294.6257541401746
362,-2294.618170973636
363,-2294.539650463727
364,-2294.9846430434927
365,-2295.082930109011
366,-2295.1831494342905
367,-2295.2016252380026
368,-2295.154736102808
369,-2295.24187691508
370,-2295.2361847425673
371,-2295.1649809165096
372,-2295.3555922025344
373,-2295.371511290869
374,-2295.126783451541
375,-2295.046337509359
376,-2295.276531117797
377,-2295.287740929049
378,-2295.2667033383827
379,-2295.524715222753
380,-2295.8148325702955
381,-2295.810712140501
382,-2295.6328670095427
383,-2295.5224862134287
384,-2295.413091028624
385,-2295.554874370977
386,-2295.5942649684357
387,-2295.7186180116305
388,-2295.875517606665
389,-2296.17196867769
390,-2296.3228453665342
391,-2296.68273046276
392,-2296.5928107026607
393,-2296.502450858403
394,-2296.999073325152
395,-2297.0828403368373
396,-2297.1455555430134
397,-2297.1453556291904
398,-2297.2212731660397
399,-2297.3880472575834
400,-2297.4141179694634
401,-2297.096372764813
402,-2297.435605834321
403,-2297.4593090759945
404,-2297.230082859223
405,-2297.452463513651
406,-2297.2367336687134
407,-2296.923556508113
408,-2296.9318342689967
409,-2296.5306314273566
410,-2297.172034187672
411,-2297.0920843676195
412,-2297.057042344972
413,-2296.9015533817546
414,-2296.9125861542775
415,-2296.91052274764
416,-2296.781952506487
417,-2296.783225361503
418,-2296.580732795762
419,-2296.968937043746
420,-2297.2618280612355
421,-2297.1943048800786
422,-2297.2538748960587
423,-2297.38104408089
424,-2297.379270127551
425,-2297.405093296582
426,-2297.9499304652018
427,-2297.966189547459
428,-2297.966853752915
429,-2297.934594433154
430,-2297.9043978013287
431,-2297.8798989882775
432,-2297.8982680304593
433,-2297.8765721011314
434,-2297.894435398701
435,-2297.85842597703
436,-2297.852823763875
437,-2297.8295543246045
438,-2297.904982079916
439,-2297.9014084915584
440,-2297.8568439857277
441,-2297.839642132789
442,-2297.749246396945
443,-2297.741671709344
444,-2297.846519069416
445,-2297.839376244171
446,-2297.8075493735028
447,-2297.8217253530997
448,-2297.925201660379
449,-2297.9599960382807
450,-2297.9448923192003
451,-2297.95614325236
452,-2297.9628061553385
453,-2298.0189041314043
454,-2297.929232961206
455,-2297.876658098994
456,-2297.665695321051
457,-2297.553261080246
458,-2297.6272158644697
459,-2297.195975325931
460,-2296.9386349520846
461,-2297.2146829230987
462,-2297.2160207578704
463,-2297.230307324613
464,-2297.2570807946054
465,-2297.302554062023
466,-2297.3047661696273
467,-2297.2650781077577
468,-2297.3607029575296
469,-2297.340370201338
470,-2297.3064922544318
471,-2297.111215273988
472,-2297.128006774022
473,-2297.1637380432385
474,-2297.1475976930856
475,-2297.1310126341277
476,-2297.1389978619604
477,-2297.157076539411
478,-2297.1524412267077
479,-2297.161841477786
480,-2297.159623814548
481,-2297.0768135715584
482,-2296.990007895456
483,-2296.9646157847037
484,-2296.971041361224
485,-2296.9420290090748
486,-2296.9587073337634
487,-2296.94250008517
488,-2297.047325780214
489,-2297.0549846000285
490,-2297.0592742511953
491,-2297.1485587280213
492,-2297.0141149019773
493,-2297.0336387490806
494,-2296.9378438730123
495,-2296.69774935483
496,-2296.6455992828096
497,-2296.688588559973
498,-2296.6205546246924
499,-2296.595481357198
500,-2296.6522976631995
501,-2296.6147764402226
502,-2296.7987196601807
503,-2296.798504259717
504,-2296.7567288403984
505,-2296.767673750481
506,-2296.8448171532
507,-2296.817309345207
508,-2296.78591008391
509,-2296.751098138306
510,-2296.637643086718
511,-2296.604884373029
512,-2296.628555326525
513,-2296.594159569561
514,-2296.5843502892235
515,-2296.6009274991443
516,-2296.752764172808
517,-2296.736975507164
518,-2296.734505715977
519,-2296.7688757939836
520,-2296.7686485497684
521,-2296.8386305761524
522,-2296.9852740627134
523,-2297.098692726665
524,-2296.980962057596
525,-2297.049844001818
526,-2297.175152279775
527,-2297.165341664768
528,-2297.217612234991
529,-2297.2946367210343
530,-2297.390965152967
531,-2297.3437126389913
532,-2297.297018667092
533,-2297.292995866041
534,-2297.238233587112
535,-2297.2666950380903
536,-2297.2831442235547
537,-2297.2190627672226
538,-2297.241174116301
539,-2297.2530306975545
540,-2297.2578860544722
541,-2297.257215494755
542,-2297.3016793265897
543,-2297.2745593894506
544,-2297.241589942395
545,-2297.3578985783656
546,-2297.2979118296334
547,-2297.2581591563476
548,-2296.6346448306276
549,-2296.622166235208
550,-2296.597278525772
551,-2296.6130606138095
552,-2296.6524856201336
553,-2296.616323707044
554,-2296.603223261311
555,-2296.5195309839582
556,-2296.4626139497705
557,-2296.4666867068577
558,-2296.5872970315013
559,-2296.607311717253
560,-2296.5558778653494
561,-2296.584258394613
562,-2296.583568592451
563,-2296.565012749069
564,-2296.432086527713
565,-2296.417011231043
566,-2296.5462169274588
567,-2296.4217305224306
568,-2296.4271653028686
569,-2296.4547385935466
570,-2296.4551773159005
571,-2296.4580605580604
572,-2296.4580408540132
573,-2296.407635214674
574,-2296.4101090876097
575,-2296.139283428367
576,-2296.125342589817
577,-2296.127488572374
578,-2296.3013383710854
579,-2296.292031091708
580,-2296.1570455719825
581,-2296.0810506919292
582,-2295.5635535781125
583,-2295.505356933867
584,-2295.580549010744
585,-2295.597299311083
586,-2295.586215900783
587,-2295.2829017697536
588,-2295.3305461691743
589,-2295.3513134362233
590,-2295.4792958652693
591,-2295.4519069349813
592,-2295.4571087752824
593,-2295.24172507228
594,-2295.2303750808987
595,-2295.8599239690934
596,-2296.073127828806
597,-2295.9155513396886
598,-2295.973892246634
599,-2295.9350212995023
600,-2295.9296965512167
601,-2295.9597606965876
602,-2295.9661723119207
603,-2296.053000824401
604,-2296.236837517992
605,-2295.985697514944
606,-2296.1326170220236
607,-2296.1883720654305
608,-2296.194397626644
609,-2296.121813077474
610,-2296.1974906050573
611,-2296.0640700103886
612,-2295.8413332870155
613,-2295.877120320897
614,-2295.4962602647124
615,-2295.496504831314
616,-2295.5084769811124
617,-2295.413651546917
618,-2295.303695999503
619,-2296.3877939911763
620,-2296.321145427663
621,-2296.2932722033465
622,-2296.3003455457724
623,-2296.2928451409725
624,-2296.311103675851
625,-2296.2222837035333
626,-2296.3190970826713
627,-2296.3262570846814
628,-2296.3176653171445
629,-2296.3304244809515
630,-2296.3536414540226
631,-2296.3749933983363
632,-2296.4262899097575
633,-2296.4130930299207
634,-2296.322903433141
635,-2296.3436154324686
636,-2296.3373356982534
637,-2296.2885838384514
638,-2296.2969535366115
639,-2296.1947183232314
640,-2296.186748184228
641,-2296.0730046733725
642,-2296.0727361566665
643,-2296.121954264784
644,-2296.1318277014057
645,-2296.0676013115735
646,-2296.0484847587513
647,-2295.9521522989794
648,-2296.016711879858
649,-2296.0071901652486
650,-2296.0045360474346
651,-2295.98641483638
652,-2295.902652723494
653,-2295.900675300289
654,-2295.932671071243
655,-2295.977076147058
656,-2296.087782450463
657,-2296.2065884331582
658,-2296.117100568411
659,-2296.2142444633846
660,-2296.233726917691
661,-2296.7319070231165
662,-2296.857462102694
663,-2296.769345460149
664,-2296.7912700258935
665,-2296.8192175892164
666,-2296.639756412086
667,-2296.5893655476484
668,-2296.566939536869
669,-2296.5723574793387
670,-2296.6112977219373
671,-2296.675220968699
672,-2296.702222549806
673,-2296.675183190934
674,-2296.5156013900005
675,-2296.5812931798114
676,-2296.5840276015274
677,-2296.521444993528
678,-2296.4613146684505
679,-2296.4285900846935
680,-2296.3893376164506
681,-2296.3438868167427
682,-2296.435720761855
683,-2296.3125974037766
684,-2296.2206632057582
685,-2296.186978743216
686,-2296.187943332689
687,-2296.141564309939
688,-2296.197306524525
689,-2296.064614900681
690,-2296.0765060536337
691,-2296.0781202132475
692,-2295.8247520474924
693,-2295.848526175579
694,-2295.9267797917837
695,-2295.978571014742
696,-2296.072780233811
697,-2296.0053790256193
698,-2295.8953717189565
699,-2295.8953800671607
700,-2295.9460881958585
701,-2296.063615953942
702,-2295.9808039472287
703,-2295.985322810522
704,-2295.993196876813
705,-2296.0745269766517
706,-2296.0716937578545
707,-2296.079781756392
708,-2296.120624849768
709,-2296.115621534008
710,-2296.1688444324836
711,-2296.118680865867
712,-2296.1507400121495
713,-2295.9946225957724
714,-2295.864555435311
715,-2295.7840410282597
716,-2295.828959729167
717,-2295.97713699528
718,-2295.9711165416625
719,-2295.913778935486
720,-2296.2083244815117
721,-2296.0479610081784
722,-2296.2035703461893
723,-2296.2416107859713
724,-2296.566965054376
725,-2296.189153992812
726,-2296.1779457670145
727,-2296.4886754399827
728,-2296.550242468362
729,-2296.142678738673
730,-2296.182292385382
731,-2296.1816912322133
732,-2296.112005254435
733,-2296.0860333481296
734,-2296.05969394166
735,-2296.169390218192
736,-2296.2003799007066
737,-2296.1919102748325
738,-2296.1992846797702
739,-2296.0940907064432
740,-2296.215429965107
741,-2296.207116187831
742,-2296.1313647459397
743,-2296.1313300887514
744,-2296.2180065751163
