,a0,a1,a2,I,b1
696,0.00016062549779044627,-0.16118628060138246,0.21400120934533057,0.9990505510964497,0.48142368659689444
697,0.00015019620188966157,-0.16119179063880576,0.21400128506558364,0.9990511461379887,0.48141291955998067
698,0.00013971864107799515,-0.16113908558106577,0.21396853459267773,0.9990495417683096,0.4813606302924095
699,0.00014795575398207666,-0.16098117519952562,0.21391863758440785,0.9990590021187516,0.48120529748140883
700,0.0001542452148770052,-0.16102443108753894,0.21393588304612957,0.9990541223209778,0.48125542478375954
701,0.00018807944333781588,-0.1608199501564713,0.2139047762487959,0.9990330356300224,0.4810222479738203
702,0.0001855329957771311,-0.16086682297022123,0.21392160785114134,0.999035857881817,0.4810711042304309
703,0.00018049231140472452,-0.16080050116103456,0.21390343873932732,0.9990331863778394,0.4810101908454629
704,0.00016737842851944338,-0.16080665208955022,0.2139214186922174,0.999036994096117,0.4810098175026765
705,0.00018084013234896603,-0.1610679764269142,0.21401011681415727,0.9990227406521597,0.48126531292598357
706,0.00018005586343451053,-0.16108000778907267,0.21401445359621066,0.9990232826537416,0.4812782241894837
707,0.00017704104428480406,-0.1610522543129118,0.21400846532195444,0.9990212418276357,0.48125236697730295
708,0.0001702292727640561,-0.16101053811241822,0.2140004541966382,0.9990203814994599,0.4812060641492085
709,0.0001749043892983079,-0.1610561493922013,0.21401730826847742,0.9990237987598707,0.48125261563838034
710,0.00016726733775386475,-0.16112795322769763,0.21403935135966984,0.9990250216819019,0.4813189167232612
711,0.00016469821228745277,-0.1611112543721405,0.21403181541702176,0.9990279857656434,0.48130301119870267
712,0.00016072192453952177,-0.1611646368252978,0.21405002023985148,0.9990295210200472,0.48136116513108546
713,0.0001750287252418475,-0.16121834399467644,0.21405326422119733,0.9990605604022125,0.4814130153948066
714,0.0001787955772402106,-0.1612478611011656,0.21406160756801992,0.9990581430258559,0.4814503465846554
715,0.00016773332771702825,-0.16116249898193924,0.21401384935190673,0.9990712632398546,0.48137367436477596
716,0.00015351079300917434,-0.16154512818691277,0.21414564874271005,0.9990768008522427,0.4817739566915227
717,0.00016337695287414473,-0.16172216630815409,0.21419235047789548,0.9990647155318966,0.48194515589067416
718,0.00017445838798551243,-0.16173744791902472,0.21418768034938127,0.9990625875775627,0.48194707086040206
719,0.00018380737184645467,-0.1617706154091941,0.2141864803546848,0.9990632660350847,0.48197846412753975
720,0.00017537688059849498,-0.16166679101656006,0.2141564743587131,0.9990750047864816,0.4818755048771863
721,0.00017839844329906222,-0.16167163454569197,0.21415720480170644,0.9990716654794722,0.48187572967737974
722,0.00016800930381189168,-0.1617085183574089,0.21418435384834741,0.9990633198275274,0.48192288517698534
723,0.00014737750141646244,-0.16136199738924872,0.21409422979613496,0.9990503834507837,0.48155899856996404
724,0.00015845578948285683,-0.16151060538533668,0.21414773573439644,0.9990262144461126,0.48171191690531645
725,0.00016507513728888012,-0.16143131456662566,0.2141240418573577,0.9990360585482578,0.4816203768424785
726,0.0001558257874094504,-0.16149041041580697,0.2141583627314415,0.9990326582269894,0.48166487693389076
727,0.0001489125044808024,-0.16127200264315814,0.21407835276878423,0.9990485252277598,0.4814459585089732
728,0.0001258422650292397,-0.16189416217521524,0.2142799432329754,0.9990391992114656,0.48211686449359603
729,0.00011996051356962491,-0.16184780641510085,0.21427544374646512,0.9990330875688909,0.48206727617061595
730,0.00011265973046101423,-0.16169442939202713,0.2142244432589226,0.9990394166619107,0.48190739647472053
731,0.0001172494855974377,-0.16166475837200533,0.21421789610150063,0.9990381990606576,0.4818737565109538
732,8.301496924608538e-05,-0.1619852814194468,0.21434383966056827,0.998999491529424,0.48219818956920596
733,8.442983037943905e-05,-0.16201072391604213,0.21435191619921048,0.9989977821604582,0.48222509142731595
734,8.387700219985927e-05,-0.16201218495348996,0.21435196067491422,0.9989982269869161,0.48222726539454625
735,7.763617084168618e-05,-0.16209290078300084,0.21438485743296315,0.9989940249960595,0.48231241301873795
736,8.199442371391498e-05,-0.16217194484435266,0.21440713272578404,0.9989896674958022,0.48239390898535833
737,9.161525541990706e-05,-0.1621934995430797,0.2144166591002248,0.9989981066229093,0.4824075592708144
738,0.00011533033867157768,-0.16198784904635477,0.21433120445199083,0.9989860169695193,0.4822218651005362
739,0.00011075954723131453,-0.16193575415766315,0.2143110315595571,0.998981267213405,0.48217148541268634
740,0.0001096041108688461,-0.16195240896954463,0.21431687151272913,0.9989829824685219,0.48218708721304326
741,9.601983671728014e-05,-0.16175111546870416,0.21423872023933943,0.9989918548384934,0.482008071110551
742,8.425109012198513e-05,-0.1619947894906428,0.2143348459375064,0.9989791691925979,0.48225722731377996
743,7.836450103562786e-05,-0.16183644062503127,0.21428624045808242,0.9989767364178055,0.48209231500944305
744,7.855571463830366e-05,-0.16183630889156292,0.21428633719029422,0.9989764503763608,0.48209222261154466
745,7.192847478506922e-05,-0.16188887350304415,0.2143012970021907,0.9989733840372836,0.48215421736861763
746,7.524546463754827e-05,-0.16187408790169736,0.21429232345520158,0.998974259859391,0.48214115948591624
747,7.273310063954773e-05,-0.16182803980704422,0.2142765490337108,0.9989752383108498,0.48209463970674793
748,6.064190462959447e-05,-0.16195596016538985,0.2143171650526471,0.9989803608255694,0.48222775277132096
749,4.665561849387413e-05,-0.16189840029297606,0.21430257744373518,0.9989722986648635,0.48217511451357015
750,5.742690702549544e-05,-0.16192201950439997,0.21430680204620653,0.9989942766565179,0.4822073456660136
751,6.130106756331446e-05,-0.16193733102482002,0.21431437591198077,0.9989947268153924,0.4822304166249849
752,5.0856040190634684e-05,-0.16197224784543657,0.21430548444865813,0.9989957860710538,0.4822642436935874
753,6.355381207130215e-05,-0.16171065453480274,0.2142262331665419,0.999010832029629,0.48200364256667966
754,6.169567189821401e-05,-0.16170735062386865,0.2142245681027553,0.9990088681068572,0.4819978481669913
755,4.512423460748065e-05,-0.16170079538057922,0.21420095530785171,0.9990147944040711,0.48197449894232314
756,4.195847878260743e-05,-0.1617327317406557,0.21420757780313576,0.9990163821942307,0.48200775560190945
757,5.210119523811428e-05,-0.16161586840582245,0.21416792349826944,0.9990076927488656,0.4818845203722282
758,5.5750424377994714e-05,-0.16162751682259585,0.21416962738671258,0.9990059280338992,0.48189268848778044
759,5.910431838182617e-05,-0.16163090795296922,0.2141676307408641,0.9990109150166935,0.48189516496658663
