,a0,a1,I,b1
693,0.00011680909340666158,0.22030898451426495,0.9991615349650882,0.5000389868395351
694,0.00010892000534864967,0.22030516172575162,0.9991584935661488,0.5000418521903099
695,0.00010844798405328267,0.22030506291277707,0.9991583063638736,0.5000417442215155
696,0.00013956896756003347,0.22032428016444794,0.9991529675095947,0.5000343826429715
697,0.00014757654036004833,0.2203292745216397,0.9991652750948992,0.5000295959145511
698,0.00013713083553438653,0.22032810882222562,0.9991658903174848,0.5000144817404868
699,0.00012594738157200094,0.22030466704653895,0.9991640254394974,0.5000383960653612
700,0.0001362866503537329,0.22030632259650865,0.9991757805585149,0.5000401831677626
701,0.00014178129710832894,0.22030897561030915,0.9991715907529488,0.5000433994178413
702,0.00017609398216883454,0.2203613880431715,0.9991495318546267,0.4999618782727872
703,0.00017600131426057965,0.2203614814754195,0.9991496404199773,0.4999618578929379
704,0.0001694435160307763,0.22036897278786313,0.9991460248196564,0.49996151636252373
705,0.00015629638581291655,0.22039004468607887,0.9991498403893121,0.49993385056350936
706,0.00016798749621848436,0.2203956684296623,0.99913820563976,0.49992317661772173
707,0.00016911282456463176,0.22039505892797695,0.9991373817484515,0.4999225464716748
708,0.00016499169943153154,0.22040128882814836,0.9991345503102476,0.49991895403710124
709,0.00015724030349915062,0.22040908290548936,0.9991334835819925,0.49990597650651575
710,0.00016046777402197246,0.22041156499624098,0.99913588988288,0.4999041598124919
711,0.00015402825598992247,0.22040918825461478,0.9991370655749379,0.4999017199627606
712,0.00015094503194246645,0.2204059066650862,0.999140578121123,0.49990598957577026
713,0.00014874304680546555,0.2204066637851287,0.9991415128202894,0.4999079021998011
714,0.00016231276293478519,0.22038540917935417,0.9991708963825304,0.4999271529009357
715,0.0001650592666912051,0.22038444443696215,0.9991692090342716,0.49993374499362664
716,0.00015325002488034492,0.22035187945885454,0.9991829236525245,0.49997537903535166
717,0.0001426500408600144,0.22036080678748332,0.9991878899073706,0.49997994083823566
718,0.00015126594852406423,0.22034445428800017,0.9991778128025157,0.4999909101565275
719,0.00016241609136858574,0.22033322225715668,0.9991757323991294,0.499989007149298
720,0.00017152243333204073,0.22031810317826087,0.9991764481190568,0.5000024877177056
721,0.0001618529489342919,0.22032225193589122,0.9991893592700166,0.4999992284241047
722,0.0001650078242931407,0.22032159317662472,0.9991859081194685,0.4999951426036763
723,0.0001549064224226071,0.22034185783884364,0.9991779250509791,0.49998478308634464
724,0.000131568902250424,0.22037603187445576,0.999162950523419,0.4999317354969123
725,0.00014172307964445408,0.22038505099948946,0.9991415993924467,0.49992673435757407
726,0.00014947922395660597,0.22039017869968863,0.9991531732581804,0.49990719727053823
727,0.00014084102959607651,0.22041152250740803,0.9991501439552661,0.49987231566197865
728,0.000130568104651934,0.22039286648718903,0.9991722823639406,0.4998902928112716
729,0.00011137324148562978,0.22038762082911395,0.9991649539971955,0.49993712111552946
730,0.00010449003472622238,0.220407473107008,0.9991578850099117,0.4999137939334887
731,9.460726479711482e-05,0.22040397593214667,0.9991658439802529,0.4999086443227121
732,9.99404658011873e-05,0.2204104587540112,0.9991644003103264,0.4998976360156332
733,6.707323081158768e-05,0.22044298844324994,0.9991272824314819,0.49986922331242756
734,6.678058431306647e-05,0.220443093172959,0.9991276222037576,0.4998688272235696
735,6.668921501332397e-05,0.22044297370518165,0.9991276959152072,0.49986906335300085
736,6.188456355500898e-05,0.22045075648890183,0.9991245102409014,0.49986481803737437
737,6.475087985648078e-05,0.22044732917216914,0.999121770894662,0.4998697925870501
738,7.401392402139623e-05,0.220453072050434,0.999129909586282,0.49985673569317
739,9.850391845430718e-05,0.22042715525917148,0.9991170470939211,0.49990342497705426
740,9.22888699184483e-05,0.2204205758476227,0.9991105721516903,0.4999122238560856
741,9.286207449703786e-05,0.2204203026306682,0.9991096931167376,0.49991303033569384
742,7.783954571031516e-05,0.22040213950481158,0.9991190794757356,0.4999555931433369
743,6.843104354684396e-05,0.22042191354768287,0.9991089766439334,0.4999403828677149
744,5.920099900367029e-05,0.220429302322769,0.9991050671483324,0.4999232038770728
745,5.9608062581914534e-05,0.22042984549066927,0.9991044622152908,0.4999227572235037
746,5.398933537571586e-05,0.22042721442209368,0.9991018642561249,0.4999335280251699
747,5.774556004866163e-05,0.22041986228232985,0.9991028083763593,0.4999427633163926
748,5.3196082853080445e-05,0.22041766402179253,0.9991044236244299,0.499944076196555
749,4.247869405785143e-05,0.22041453477640574,0.9991091298910209,0.4999517267449185
750,2.7966644600804086e-05,0.22042235356252654,0.9991007769012286,0.49994914835975973
751,3.8041256299470305e-05,0.22041793404982193,0.9991212353063137,0.4999615931009361
752,4.1131857524081064e-05,0.2204211545255883,0.9991216228445852,0.4999645740993808
753,3.1245888289213944e-05,0.22039282706206634,0.9991225953446651,0.4999917372768414
754,4.5747926347551246e-05,0.22039957344909422,0.9991401659564016,0.4999857719470069
755,4.340720528524765e-05,0.22039916391219966,0.999137678028798,0.4999830776713823
756,2.6898162610056522e-05,0.22036924376626205,0.9991435460395683,0.4999960798714339
757,2.5110944580646402e-05,0.22036639608675312,0.9991444848428097,0.49999971861020565
758,3.6412351008941954e-05,0.22036041536829165,0.9991343192916025,0.49999803802590276
759,3.9950241777216705e-05,0.22035694999570407,0.9991326033164266,0.49999808033356663
760,4.299481530323744e-05,0.22035312083250252,0.9991370936279395,0.5000010924194798
761,5.015454470941316e-05,0.2203500454985377,0.9991413347338303,0.5000148502596284
762,2.7178231333782957e-05,0.22030480759487578,0.9991522902626888,0.5000478265919602
763,5.373638223519356e-05,0.22032922059972188,0.9991646752954819,0.5000117680697906
764,4.0794380829344e-05,0.2203357921072493,0.999169974969606,0.4999996238138237
765,4.016742356010086e-05,0.22033547720981056,0.9991702095613343,0.5000002246914421
766,4.730621194819727e-05,0.22033149779237182,0.9991733646070042,0.5000019193641129
767,2.4006804535221457e-05,0.22034266638026884,0.9991770346404762,0.499980910097399
768,6.550780101314407e-06,0.22033402443708422,0.999173714733859,0.4999918417482763
769,9.576108138224793e-08,0.22033537276172813,0.9991797738876371,0.49999001646236524
770,1.760920020264442e-05,0.22033579068459527,0.9991603648932375,0.4999701833065776
771,3.8533946764935864e-05,0.22030294506850706,0.9991415395198315,0.49997662069370497
772,3.8424091839791424e-05,0.22030313443410493,0.9991414823773663,0.4999765183446424
