,a0,a1,I,b1,b2,b3
760,4.696022191296844e-05,0.22104121358234258,0.9991587632769304,0.4992898775780551,0.24949718946988586,0.24950949787837723
761,4.5912627159019545e-05,0.2210390824623813,0.9991591730491867,0.4992924923229666,0.2494982933412586,0.24951085363344377
762,5.334085370620623e-05,0.22103012195584537,0.9991625249394898,0.49929913290659356,0.24950146065707499,0.2495175936392994
763,2.9650998257015233e-05,0.22100313747882303,0.9991665458360337,0.4993163570396596,0.24952848699849195,0.24953892727729635
764,1.2673749371139298e-05,0.2210260456029924,0.9991629631381671,0.4992956436422151,0.2495047314432578,0.24953519564223864
765,6.430474467292689e-06,0.22103314443728656,0.9991687406696366,0.49928802671724626,0.24950066771607832,0.24952961087244116
766,2.3971463276055774e-05,0.22105433596748736,0.9991493068652213,0.4992475483913032,0.2494861355278801,0.24951792940815934
767,4.5171555749110026e-05,0.22105051983890642,0.9991303702804284,0.49922487806650545,0.2494641736517874,0.2495205313939574
768,4.487502786080545e-05,0.22105044707688049,0.9991302154421018,0.4992251917306583,0.24946458480550773,0.24952089808775071
769,3.480376860618816e-05,0.22108352371919357,0.9991271411866197,0.4991863790769532,0.2494488107289279,0.24951957493557936
770,2.3018266207303247e-05,0.22112880439533672,0.9991580773919917,0.4991415887148908,0.24941027371166788,0.2495110582310921
771,3.80211511329491e-05,0.2210862665824732,0.9991663649098206,0.49914701446096427,0.24944042847208986,0.24953562613566305
772,3.8339087433576086e-05,0.22108666540072486,0.9991662288392886,0.49914675975478884,0.2494393609249585,0.2495354558069532
773,4.372208936369564e-05,0.2210866916525635,0.9991686348355048,0.4991448247364775,0.24944189915631265,0.24952220892505955
774,2.9760740747794903e-05,0.22118459335378354,0.9991547021417544,0.49903882770929653,0.24937568071735938,0.2494756760929851
775,3.92159274230381e-05,0.2211895713044122,0.9991570042518252,0.49904217974131004,0.24937696694639117,0.24947097183605327
776,2.37399486652419e-05,0.2212017064603168,0.9991405167197557,0.4990241412781249,0.249354318380681,0.24945819862515484
777,1.6164062333772627e-05,0.2211923617639695,0.9991381767773093,0.49902534613349625,0.2493581788385337,0.2494553671378088
778,1.6365353827157633e-05,0.2211928842146869,0.9991382045965529,0.49902489177667775,0.24935802136243604,0.2494552298348649
779,3.4190769446844696e-05,0.22121430683856486,0.9991605826755591,0.4990092261591992,0.24934945513327095,0.24946562210715922
780,2.1101671429640118e-05,0.22116821450739607,0.9991748843264124,0.49904004757466486,0.2493786898095206,0.2494791400645293
781,3.5028014970739374e-05,0.22119000139658676,0.9991639960487879,0.4990012556523001,0.24938008311831186,0.249474681890734
782,4.454923013061385e-05,0.22120312597898759,0.9991482211284373,0.49897835924607786,0.2493578421471216,0.2494818047134459
783,4.3524967570096607e-05,0.22119938705561903,0.9991464470309257,0.4989834837603766,0.24936148115533985,0.24948464229472458
784,4.0888164671282895e-05,0.22120860983752222,0.9991470740115337,0.49896942539174693,0.24935855603867974,0.24948343851727786
785,5.677143977186709e-05,0.22115983610930895,0.9991447508647238,0.4990136855533067,0.24942200173966592,0.2494814364859907
786,4.7446873866411124e-05,0.22119788674156896,0.9991601556610579,0.4989793048649552,0.2493978676533962,0.2494488348699333
787,5.1260851886600345e-05,0.22121446473781056,0.999163942212164,0.4989571992881392,0.24938459929485224,0.249440843997939
788,5.6880794739404966e-05,0.2212110542054342,0.9991690682697488,0.4989673023060872,0.2493789929008025,0.24944026534490654
789,5.868573128223545e-05,0.22120925213215753,0.9991684817129007,0.49897067527918426,0.24938243254621362,0.24943839768944284
790,5.6801993836399015e-05,0.22121720891433555,0.9991678477880602,0.4989632488167463,0.24937505826005552,0.2494329295249494
791,8.489287538965794e-05,0.22130105490850294,0.9991485560151808,0.4988844178771045,0.24930598587118316,0.24942248426829078
792,9.230283425377961e-05,0.22132356296627922,0.999145998253293,0.49885656240452014,0.24929112693281694,0.24941094743607195
793,9.852767109913216e-05,0.22132017205090035,0.9991414430134432,0.4988573480233619,0.24928872451454875,0.24941350098439735
794,8.228655798371738e-05,0.2213112794826041,0.999142903155814,0.49887839152870067,0.24930197487510708,0.24942969126912734
795,7.91863774881503e-05,0.22131845363688366,0.9991458052389346,0.49887185106525683,0.24929931966327712,0.2494281593761025
796,8.098527150976129e-05,0.22131568266030488,0.9991467476142513,0.4988730747643076,0.24930098260002392,0.2494278917285644
797,9.53200875749155e-05,0.22128208514646702,0.9991477490836478,0.4989140144517309,0.24931300378149357,0.24943903804069126
798,7.111718282806594e-05,0.22129844880595517,0.9991267416233557,0.49889390176931203,0.24928881971039363,0.24945160495238902
799,7.576608811694398e-05,0.22128675216776347,0.9991245181199593,0.49890937983703537,0.24929789088354465,0.2494587496868131
800,6.304651950981427e-05,0.22127390931456623,0.9991041315947988,0.49892554738337846,0.24929697596459677,0.2494621675860901
801,7.480940578139667e-05,0.2212759140965883,0.9991296614553034,0.4989449421310126,0.2492934180885007,0.2494703793233528
802,6.953926367233871e-05,0.22126489160164886,0.9991234912159884,0.498944133014638,0.249291894814868,0.24947575658247387
803,7.98568349134228e-05,0.22126163763556556,0.9991224498092528,0.49895994114932185,0.2493180183722185,0.2494960585563821
804,7.554540923570066e-05,0.22123852850970202,0.9991244708279036,0.49898379684815325,0.24932950914096585,0.24949560038701007
805,7.271070414903956e-05,0.22121735967227082,0.9991252609444966,0.4990062885160108,0.24934526837217472,0.2495006958599027
806,8.403986874891238e-05,0.2212728497270583,0.9991097754536136,0.4989465186162743,0.2492991653875818,0.249475657622104
807,7.808062941805881e-05,0.22127238635881566,0.9991172625989161,0.4989563100856381,0.24930208887515345,0.2494793618032568
808,8.142982188366447e-05,0.22126670203880727,0.9991133165275667,0.4989571592723097,0.24930062401253444,0.24948014398506138
809,8.482051105164652e-05,0.22126172262855456,0.9991146294363606,0.4989583297410199,0.24929944402776322,0.24947668251108818
810,8.280785159784157e-05,0.22127138302717114,0.9991169579875961,0.49894816614627424,0.2492948775792913,0.24947565695119764
811,8.215014220803139e-05,0.22127445564918358,0.999120241383199,0.4989463740740985,0.24929257174858738,0.2494752857742948
812,8.773508986623579e-05,0.22125098240403396,0.9991244766563343,0.4989437042081455,0.2492992706818546,0.24948562243040384
813,8.239837451702245e-05,0.2212508848281874,0.9991244810606984,0.498940208238124,0.24932344214784866,0.24949504633487013
