,a0,a1,a2,a3,I,b1,b2,b3
410,-1.829873588578279e-06,0.0802420807558778,-0.18074304864991217,0.22048675756427621,0.9990500871378137,0.49990553454043274,0.2508132158533246,0.25018451117381946
411,-5.417687071235938e-05,0.08071145595341653,-0.18083573589124075,0.22030208420139838,0.9990833209700667,0.4994883633709357,0.2507280458785574,0.25045835504958525
412,-4.970804167105797e-05,0.08069960499247203,-0.1808517872734749,0.22030352144368298,0.999076528576511,0.4994966039959022,0.25074561804498263,0.2504601911187094
413,-2.6028919019246977e-05,0.08074186356142167,-0.18093093899748705,0.2202263731775784,0.9990429834396113,0.4994135007580626,0.25078135177915417,0.25055007897936815
414,-4.547449362057171e-05,0.0807349201844228,-0.1808733120410968,0.2202712919609875,0.9990466135987337,0.4994488572927335,0.25075829194597243,0.25049047192814
415,-4.558522534855308e-05,0.08073482631014157,-0.18087291277050863,0.22027149855357736,0.9990467335520479,0.4994489865798304,0.2507580965739391,0.25049023023648354
416,-6.4705657287778e-05,0.08073286881532876,-0.18083835324313702,0.2203285831258646,0.9990451115578136,0.4994715765141409,0.25072922890198335,0.25044060916475047
417,-1.8140198449929923e-05,0.08065086008922713,-0.18099136080369682,0.2202707924269747,0.9990626716582733,0.4995586638573279,0.2508851580146073,0.25057977304025614
418,2.274158788569125e-05,0.0807871983327745,-0.18117693915003244,0.2201782997123633,0.9990852462356946,0.4994391323890306,0.25099880127159757,0.25072181570330426
419,3.625432798965572e-05,0.08081613499845329,-0.18118828268260476,0.22013210290609436,0.9990763089277293,0.49941634759071435,0.2510007088635087,0.25077233536227955
420,1.9750339739960793e-05,0.08081873261068165,-0.18114359954047263,0.22012983987436893,0.99908320045319,0.49942561923146067,0.2509445670315019,0.2507417461623457
421,3.415258531653739e-05,0.08086926525828617,-0.18115651194047006,0.2201031518324949,0.9991098396869407,0.49937234345825365,0.25091804237051407,0.25077695665937216
422,3.112270168590531e-05,0.08086716686532322,-0.18115859823922514,0.2201038859510469,0.9991086357886676,0.4993688950007788,0.25092167266066223,0.2507800485045158
423,2.63445891425379e-05,0.08087942479585866,-0.18116428637799115,0.22010291400501564,0.9991117095186506,0.4993550390406151,0.25091134588665087,0.25078323454988743
424,-2.0910733339905146e-05,0.08090970454125718,-0.18103482284053488,0.22004464522223682,0.9992210014595283,0.4993687195815282,0.250746462872407,0.250665972060673
