,0
0,-1223.6913948430104
1,-1204.6414972063437
2,-1732.172740368538
3,-1729.033998647137
4,-1774.5128545389052
5,-1756.2462579371393
6,-1748.7752022798088
7,-1701.037815855043
8,-1583.6117193109392
9,-1354.365792696923
10,-1384.3437302585492
11,-1712.7982331491821
12,-1696.5163712504898
13,-2089.585581994987
14,-2085.127937632763
15,-2226.5558103842345
16,-2162.899052931533
17,-2202.611220646411
18,-2182.6843043843837
19,-2201.1874836434627
20,-2195.1585404296766
21,-2195.1162037161703
22,-2210.01152617678
23,-2181.734173079992
24,-2186.1152292055654
25,-2197.8078043224837
26,-2262.4303669078727
27,-2254.6444213659183
28,-2253.630450849187
29,-2258.372256710676
30,-2258.4603191393
31,-2263.2067394026562
32,-2266.216985563638
33,-2268.497424696866
34,-2270.2057886883877
35,-2266.6788343100684
36,-2266.49960985584
37,-2267.90543741504
38,-2270.389836819315
39,-2271.8968395060037
40,-2271.599654955887
41,-2270.955434219787
42,-2255.508616582023
43,-2275.6922197384342
44,-2275.620643776634
45,-2275.5754442112398
46,-2275.4460535568737
47,-2278.7924094042883
48,-2277.931781266963
49,-2283.3328837669155
50,-2280.2191464545117
51,-2281.6274623348577
52,-2283.0513521941702
53,-2285.0939392354685
54,-2283.6953098009003
55,-2276.204532910231
56,-2284.7917936840713
57,-2279.798244192248
58,-2285.156887645919
59,-2278.0275658904175
60,-2285.6044217893477
61,-2285.8960512512667
62,-2285.1721216474843
63,-2285.291106679354
64,-2284.755054976827
65,-2282.2485882485767
66,-2285.7646555531564
67,-2284.012141946863
68,-2284.4483313172495
69,-2289.050325375685
70,-2282.3098425521343
71,-2280.5349300933094
72,-2279.6056630597554
73,-2279.5721531044865
74,-2279.2726202441913
75,-2284.612004312035
76,-2287.125432468429
77,-2286.87047410511
78,-2286.488447412615
79,-2287.855799412844
80,-2287.635117592188
81,-2287.851315324442
82,-2287.354944838598
83,-2286.7188097861144
84,-2286.4486958042185
85,-2286.3717158089044
86,-2287.80261812197
87,-2287.958534269184
88,-2288.391927100779
89,-2291.1256566615843
90,-2289.8366213182326
91,-2290.212743979584
92,-2292.986080169237
93,-2290.3611477987356
94,-2292.9465800786206
95,-2293.214598499493
96,-2292.610357625075
97,-2288.5260567026653
98,-2288.0958728535675
99,-2286.914840583178
100,-2281.925357392969
101,-2278.2023509283126
102,-2278.225189473247
103,-2278.974097527794
104,-2276.439132078187
105,-2282.154166667136
106,-2286.816320666183
107,-2288.4655968314482
108,-2288.409512414587
109,-2287.919443155632
110,-2286.2921052805523
111,-2285.2838858136847
112,-2285.1937201630276
113,-2285.1948368055546
114,-2287.304248064501
115,-2287.3560035080236
116,-2288.761881638128
117,-2288.6952642895126
118,-2288.1767171777183
119,-2287.4034945516432
120,-2283.979616881087
121,-2289.132014161099
122,-2289.798404352091
123,-2289.843153595485
124,-2289.6505804393137
125,-2288.5254275163934
126,-2295.2066917110496
127,-2296.155307762006
128,-2296.606213452131
129,-2296.469233044384
130,-2291.4106928525302
131,-2291.251640128104
132,-2290.5179112004234
133,-2290.1585832195074
134,-2288.0757920599185
135,-2288.0158845250953
136,-2289.556791657987
137,-2289.8379596888976
138,-2289.5476502617953
139,-2289.337466924129
140,-2289.6292973184777
141,-2289.5171596320993
142,-2290.1015962236465
143,-2290.089516374079
144,-2291.6601282959086
145,-2291.668436366323
146,-2289.322254132707
147,-2287.7868302634174
148,-2286.6787163352496
149,-2288.9741727822907
150,-2286.851704400907
151,-2288.170188991945
152,-2287.4093800410874
153,-2291.3654254549
154,-2289.228190788578
155,-2292.1547572341005
156,-2288.8426453111692
157,-2288.820273872243
158,-2287.7783591824236
159,-2287.6751775640655
160,-2285.378520921057
161,-2285.3846646064558
162,-2284.8232543811287
163,-2284.7808310654978
164,-2283.733343366095
165,-2284.1313599520763
166,-2284.684982221326
167,-2284.6173061079307
168,-2285.3902379123942
169,-2286.089166940715
170,-2287.1332515486715
171,-2287.304705165541
172,-2287.2500444816246
173,-2287.444145547965
174,-2286.591726926594
175,-2286.1176584074155
176,-2286.8160122529944
177,-2287.020334862547
178,-2286.6918970870693
179,-2288.417750792904
180,-2288.5789221100767
181,-2289.205526261627
182,-2289.8111068565854
183,-2290.3719565757824
184,-2290.4586800290385
185,-2290.228821711433
186,-2290.380309046923
187,-2290.359468912087
188,-2290.2447965351525
189,-2291.1392870970353
190,-2291.598753337876
191,-2291.502405581405
192,-2291.586092890633
193,-2291.413847245091
194,-2291.6255891618807
195,-2291.6660488395332
196,-2291.5836236507403
197,-2291.321488332485
198,-2292.6615606515984
199,-2294.0216227200026
200,-2294.2274124792852
201,-2294.9364376056
202,-2295.1108551938605
203,-2295.2209665233786
204,-2295.243244132586
205,-2294.6590326416695
206,-2294.7791179192254
207,-2294.7691511374214
208,-2294.6825155739293
209,-2292.1295675602055
210,-2292.2488296458814
211,-2293.017307930295
212,-2292.3840311193776
213,-2292.8323572134823
214,-2292.4431785948236
215,-2292.5218392273987
216,-2292.8263897540432
217,-2292.7886516056806
218,-2292.8542116094927
219,-2292.2306495268795
220,-2293.1009046475992
221,-2292.899860076864
222,-2294.063306853325
223,-2293.08454599548
224,-2292.7859907702605
225,-2292.779546982748
226,-2292.518217287377
227,-2291.9603447836703
228,-2291.2822797321332
229,-2292.4927454065514
230,-2292.6804427787015
231,-2292.6070816669803
232,-2289.7640485135134
233,-2289.6812561910656
234,-2289.3295375386597
235,-2291.3906558390995
236,-2290.4701129313453
237,-2289.902702551205
238,-2289.403140714812
239,-2290.1389611430973
240,-2289.9691687401823
241,-2289.9979949660615
242,-2289.5610194981177
243,-2289.686943725034
244,-2289.3397309369684
245,-2290.0349915587326
246,-2290.22129827681
247,-2288.4857119208655
248,-2288.1583938181902
249,-2288.2973527459626
250,-2288.52303629513
251,-2288.8978079707963
252,-2288.5723559537573
253,-2287.8598901219552
254,-2287.8436298833826
255,-2288.849534093181
256,-2290.0243313301207
257,-2289.9947512401136
258,-2289.50673839385
259,-2289.3164051200656
260,-2290.7240586588628
261,-2290.6933068516314
262,-2290.721688177881
263,-2290.320804035267
264,-2289.6281500333607
265,-2289.2861236315334
266,-2289.3060826927112
267,-2290.087967264974
268,-2291.2565221899913
269,-2289.7340855579855
270,-2289.5177290465713
271,-2292.325749416124
272,-2292.1095341293176
273,-2292.109603648745
274,-2292.9650423191533
275,-2293.291081679429
276,-2292.8143088052625
277,-2293.1968673720526
278,-2292.854374384591
279,-2293.2369938550432
280,-2293.1803707334057
281,-2292.8835840540887
282,-2293.0658048198934
283,-2293.0096136699326
284,-2293.0300437402448
285,-2292.975396284931
286,-2293.5264584113347
287,-2293.416067308024
288,-2293.7857567071987
289,-2293.523979089091
290,-2294.581355645323
291,-2294.5829561133155
292,-2294.2702154425797
293,-2294.875572959716
294,-2293.8233455418226
295,-2293.763138354344
296,-2293.7993619085714
297,-2293.6204880224604
298,-2294.4416293884437
299,-2294.406666027422
300,-2294.898707586258
301,-2293.394570009144
302,-2293.2998576263158
303,-2293.1254356620607
304,-2293.8004972895146
305,-2294.0972511585196
306,-2294.0859689897325
307,-2293.4707118622796
308,-2293.7176082515707
309,-2293.764390046561
310,-2294.1010162265093
311,-2294.3770637274
312,-2294.4480008978867
313,-2294.2484573143006
314,-2294.5046046494836
315,-2294.429682448474
316,-2294.302148465268
317,-2294.6076735152337
318,-2294.4701197694717
319,-2294.4644823634835
320,-2294.432765338757
321,-2294.4412616031186
322,-2294.4541080668664
323,-2294.411317007576
324,-2294.411771046082
325,-2294.221272053048
326,-2294.288563105371
327,-2294.3316683314893
328,-2294.345667029647
329,-2294.624969019475
330,-2294.661126988581
331,-2294.908775502067
332,-2294.8960832220455
333,-2295.441661291468
334,-2295.5587420805214
335,-2295.57380260733
336,-2295.0104681546354
337,-2295.090856527044
338,-2294.95522273076
339,-2294.5296015870854
340,-2294.5354266737063
341,-2294.5914816370732
342,-2294.2662646194744
343,-2294.224716794216
344,-2295.473113644657
345,-2295.385996797473
346,-2295.5787383643437
347,-2295.5186311964867
348,-2295.510954842748
349,-2294.132632140302
350,-2294.1232813007446
351,-2294.238038606799
352,-2294.1988848531464
353,-2294.164951707943
354,-2294.4367038567743
355,-2294.5712234024263
356,-2294.8256181768725
357,-2295.0001600085784
358,-2295.0510306558986
359,-2295.1576309261163
360,-2295.0985644839498
361,-2295.4272499833505
362,-2295.4225287860877
363,-2295.33706647119
364,-2295.483013503147
365,-2295.6163531719826
366,-2295.5648577305883
367,-2295.566106729881
368,-2295.5001843978116
369,-2295.800602017756
370,-2295.8022177694
371,-2295.740834427105
372,-2295.9060210247285
373,-2295.9110772520576
374,-2295.712540237289
375,-2295.4912047557095
376,-2295.8708762120036
377,-2295.8945296811003
378,-2295.8246365317655
379,-2296.047247135717
380,-2296.125241103071
381,-2296.043629584182
382,-2295.978070333569
383,-2295.7330272324757
384,-2295.8345953965913
385,-2295.9447808176615
386,-2295.949044999595
387,-2295.5056721458936
388,-2295.6140968191494
389,-2296.1682899723182
390,-2296.383504400401
391,-2296.759009468145
392,-2296.6457676049167
393,-2296.7118912622395
394,-2297.6993786581097
395,-2297.745814927378
396,-2297.82341490728
397,-2297.8255191253475
398,-2297.7803560356283
399,-2298.0436289181885
400,-2297.991762872274
401,-2297.9961683212737
402,-2297.904453781476
403,-2298.1291345713607
404,-2298.050631645045
405,-2298.118371488973
406,-2298.037110357254
407,-2297.935170679968
408,-2297.5252629311935
409,-2297.326244734128
410,-2297.3832103853024
411,-2297.7344118938436
412,-2298.0088938529557
413,-2297.823769454755
414,-2297.8532705152656
415,-2297.8937189771627
416,-2297.8401972183283
417,-2297.8424176371723
418,-2297.7422038067134
419,-2297.6185490998014
420,-2297.6829949416037
421,-2297.5607144129935
422,-2297.576321657547
423,-2297.574029173575
424,-2297.581031744628
425,-2297.603899998558
426,-2297.716951911794
427,-2297.801214033473
428,-2297.8008583387827
429,-2297.77858658181
430,-2297.7039001860826
431,-2297.618100564823
432,-2297.5635524095132
433,-2297.6083834080987
434,-2297.6664100630546
435,-2297.673011080496
436,-2297.6737981434253
437,-2297.6679195691563
438,-2297.5989974862796
439,-2297.6263898958305
440,-2297.483020724583
441,-2297.341095421984
442,-2297.0977756675297
443,-2296.9373112440144
444,-2297.0377510437174
445,-2297.061820189553
446,-2297.0683547130348
447,-2297.0889167288738
448,-2297.1637140754165
449,-2297.1559345311807
450,-2297.134732893559
451,-2297.128465841338
452,-2297.159669681365
453,-2297.1691351357913
454,-2297.4620243808236
455,-2297.5051923868514
456,-2297.2416113172458
457,-2296.894996488756
458,-2297.115888571649
459,-2296.3619759686703
