,a0,a1,a2,I,b1,b2
0,0.009946401574659251,0.014124995200335687,0.1605116197701225,0.9040518464181786,0.15165615050318615,0.23153735412774895
1,0.013820311118726083,0.010382187476138434,0.17814224327796166,0.8983826372027626,0.15808162843816337,0.22584565009164523
2,-0.008197704197987855,-0.10271386604398082,0.2341013840475359,0.9333556666122585,0.3416468998031938,0.2138743733924937
3,-0.009999116314297707,-0.09076133211549678,0.22286574402636095,0.9379631330841166,0.3374720652845892,0.22956719937076517
4,-0.011191402744883396,-0.07622971022948741,0.25857067001221656,0.9495263388111708,0.34315442785761807,0.20468233561525934
5,-0.007532933172925183,-0.10225540077143426,0.25231143774475184,0.965257864833049,0.3648322137174196,0.19389698883744105
6,-6.2283974628056e-05,-0.12221525396951194,0.22260383852141546,0.9814136823325149,0.4155477591273577,0.23196243538394207
7,5.1102965173942125e-06,-0.12222458680576472,0.22244662544579602,0.9812688928574677,0.4156261316602259,0.23235767874755375
8,-0.0034704197931490197,-0.1403648059577437,0.22103984856743206,0.9923347849457317,0.4525191983427465,0.24090315556244957
9,-0.003594130595819091,-0.13986793669319317,0.22038318671909155,0.9922417133318069,0.45243873515899014,0.24211861266037857
10,-0.0049405099818285725,-0.15863792786118885,0.21018973496809457,0.9864988525431877,0.4677253950542581,0.2491404702887534
11,-0.005106293720246479,-0.1604708732716729,0.2017092103049228,0.9867749341048927,0.4670583170112188,0.25761324711082273
12,-0.003877939898406379,-0.15724471746835986,0.20083577368262742,0.9888321867348563,0.4655346785173711,0.2572654369741635
13,0.0014762050098119563,-0.16202764057485067,0.21090352311894286,0.9930748733090151,0.48038771485812204,0.2574659001503884
14,-0.0009245441766273532,-0.17259383943149595,0.21192068908373815,0.993463109499933,0.4887003517503964,0.2547260487365755
15,-0.0005560732023387875,-0.17221585708595377,0.21374411571358753,0.9932784841151318,0.48814931506386844,0.25305718275087036
16,-0.0006269508723066997,-0.17196160972250574,0.21364041101091794,0.9934941695713071,0.48811746251657356,0.25344603256191145
17,-0.0005749912126719634,-0.16964173655636045,0.21477924071596696,0.9942054147803008,0.48669713797868797,0.25252465960614773
18,-0.00036993620380896435,-0.16954880757557506,0.21098217649543452,0.9948773247295108,0.4856869106196889,0.25530449152026324
19,-0.000586404294691509,-0.16901704159662173,0.2111106055465821,0.9948275932339323,0.48483130973767125,0.2551690649781548
20,-0.00022765011510779664,-0.16894894922143477,0.21031776053199894,0.9948752861421425,0.4848680445458041,0.2564734922702494
21,-0.0001659295700673857,-0.16879004292290375,0.21035995620061645,0.9949319249828339,0.4847435007140436,0.25642530153639786
22,-5.952275159416506e-07,-0.1688885133779984,0.2108580537866367,0.9948827240872189,0.48499762878505204,0.2560350334741408
23,-2.5437972544728372e-05,-0.16891688589529,0.21085876734667433,0.994870203454436,0.4850353474053831,0.25601878221279495
24,0.00027991403914358717,-0.1684764285297741,0.21132618743871556,0.9951596752117453,0.48485998174589856,0.2554123423825154
25,0.00031218531266333514,-0.1685143924774668,0.2113829950827521,0.9951862908055475,0.4849385341981847,0.25540090017883177
26,-0.00016448994065386283,-0.16986930198200617,0.2117700640823756,0.9955237810041002,0.4859708339565444,0.2548764361984198
27,0.00013998720183538039,-0.16947780464353318,0.21257265114575913,0.9959936939594165,0.485602655402903,0.254283071464839
28,0.0008256584940465031,-0.1684462347010616,0.2139863849299999,0.9966469759709585,0.48613463474520924,0.2526372126728967
29,0.0012819571962985855,-0.16890952405856108,0.21478346274960097,0.9968166596190188,0.4871720021165117,0.25311993812133066
30,0.0007744492703878801,-0.17209428409293473,0.21474578824146795,0.9966643726065644,0.4900818436110538,0.2534587572059723
31,0.0010769588754779083,-0.17248101188372403,0.21667224758656584,0.9968450646669689,0.4906305721271314,0.2518645603878577
32,0.0009881855650670105,-0.17258866896286978,0.21665172689087728,0.996888152483328,0.4906642896463912,0.251889289685212
33,0.0008638644421212218,-0.1725773844481343,0.2165004610212578,0.9968618107425706,0.4907029201063436,0.2519250037560252
34,0.001032768741115086,-0.17230075697376518,0.21659206458000463,0.9967964413939896,0.49045016065660535,0.2516632304044341
35,0.001087491572437963,-0.17240764811905698,0.2166578031973123,0.9968506671666142,0.49055881175902294,0.2516507587250363
36,0.0009059774863088714,-0.17283094877199512,0.21697990345965198,0.9967256081560008,0.49072911034321465,0.2514325812780929
37,0.0010020360333763301,-0.1729679461733941,0.21718220081818837,0.9966029405745176,0.4908724162498526,0.25137390187764636
38,0.0008800398106643483,-0.17334375931999835,0.21726785099063306,0.9965721356701664,0.4913822443149723,0.2513954579951593
39,0.0012655095216310857,-0.17409138457296763,0.21836077232719664,0.996481523576276,0.4921872620346269,0.2500968189786415
40,0.0012784692061349244,-0.1741005029169946,0.21832884504030203,0.9965133485816042,0.4922080685091734,0.2501405469829234
41,0.0013813269384419934,-0.17365370107466427,0.21818896351169317,0.9967505914082456,0.49220227990702053,0.2503408721396518
42,0.0014223266976021662,-0.17355273847546066,0.21840642700277282,0.9968103080863561,0.49223619121991896,0.25032770070985383
43,0.0013209144595354393,-0.1744646325396289,0.2179624496378594,0.9968330106406282,0.4930072815492821,0.2507729361531868
44,0.0016554565186961542,-0.1747455148110439,0.22041797328308077,0.9965178376276871,0.49318186861153857,0.24866780908193892
45,0.0009005090697203032,-0.17514506646694,0.21992412028037503,0.9974245587244335,0.49418419585116924,0.24968031753039838
46,0.0009279687338299916,-0.17519167637591465,0.21993774527138596,0.9974120657900932,0.4941980135755558,0.24965892738558454
