,a0,a1,I,b1
0,-0.001005297390326787,0.2750336144461778,0.8622778250584369,0.3033994173629699
1,-0.008943962443173619,0.24674636591771545,0.8595454040157475,0.3250714578086655
2,0.007795471105577753,0.24795060056264948,0.8964794263087608,0.3871912126197048
3,-0.004687149473832766,0.19500379544372504,0.9157771420340218,0.43691459635063407
4,-0.009354854029992983,0.21082057615476046,0.9262933476627293,0.43778834592426624
5,-0.01207420474699545,0.22344968176322022,0.9370621338928377,0.44208095049467794
6,-0.012888150520679322,0.2351300464653919,0.9447854520981138,0.4432916140419273
7,-0.009631014392966469,0.21562288706696142,0.9585267276783662,0.4606428855695348
8,-0.002257575753183908,0.22291691599739075,0.972603057951054,0.4766493596907345
9,-0.004703966171802208,0.2125708917283727,0.9760633685469303,0.4841783619572558
10,-0.00540591203914153,0.21862517619798816,0.9852326891914565,0.4910127106646681
11,-0.005388509092906451,0.21836689430562328,0.9852694181988513,0.49113884816784475
12,-0.005265883798770008,0.21729029735070512,0.9846674031518223,0.492310022617076
13,-0.004228289792048615,0.21904395821258527,0.9851101192977676,0.48957570591723537
14,-0.002010450327313413,0.2173810898411695,0.989092658836558,0.49469514939836273
15,0.0008638438632865213,0.22464505992580996,0.9917861330769001,0.4931190782420008
16,-0.00027138372701744715,0.22160008444415594,0.9927899004585742,0.49533227789423095
17,-0.0003005809051435748,0.2216133527291687,0.992830085594415,0.4954000315493227
18,-0.00031114261107518994,0.2217062240792256,0.9928662170392204,0.4953499872612459
19,-0.0005390470392427623,0.22278718861026212,0.9935479000339813,0.495049653681111
20,0.0003057978291436664,0.22157538667544466,0.9947838981650821,0.49565716385078973
21,-9.438123431390133e-05,0.22174428166154075,0.9946241190253368,0.49493035530476864
22,0.00040349489151498934,0.22266324464232243,0.9947464193766884,0.4942762079929574
23,0.000674483812510955,0.22290190043188657,0.995018334811996,0.494141330851003
24,0.0004543698531384769,0.22284173472797886,0.9951707969657552,0.4940064810261573
25,0.0004574294858690073,0.2228458391118363,0.9951722942784769,0.4940009272591561
26,0.0007338723899658333,0.22267435154900203,0.9954564009586272,0.4943822073862697
27,0.00044623572899436803,0.222281230334586,0.9952083274524014,0.49440127216689667
28,0.00016157174343165717,0.22182405999627608,0.995460190952451,0.4946855275023343
29,0.00030410666171112215,0.22200851364792903,0.9957271752377964,0.49445364684770043
30,0.0009427940424181401,0.22177906080994472,0.9963992048403568,0.49613962741162815
31,0.0011612298855963325,0.22253761072493627,0.9964966595074738,0.4956670342165215
32,0.0009240340061044996,0.22220056518389583,0.9964688280079126,0.4959544483273293
33,0.001067506507829422,0.22225121670403702,0.9966069992078777,0.49595097159317003
34,0.0010112827057691537,0.22223627450389416,0.996635989066044,0.49592410147071125
35,0.000849362528858333,0.22204859355077045,0.9965898775138567,0.4961807125014003
36,0.0010964745454589136,0.2218315095802091,0.9964930087875077,0.4964030735847491
37,0.001073983851081303,0.2218187736046621,0.99646628222352,0.4964134661389803
38,0.0009588533332864236,0.2217969927826184,0.9964100616057713,0.496277462221055
39,0.0009701172960905445,0.22181348160772138,0.9963974178760666,0.4962617127252542
