,a0,a1,I,b1,b2
0,-0.0055715355939842115,0.2251575577443341,0.9989911789919999,0.4877550616319317,0.2376591566505234
1,-0.0037486442975239176,0.22478742220593473,0.995629865825598,0.4884593292165875,0.243280181027826
2,-0.0047447613838038916,0.21481715019086112,0.9973581745813807,0.5019776571264815,0.25018560332483836
3,-0.004691499040985009,0.21407289555934472,0.9971765512854527,0.5024040176351414,0.2503528773634811
4,-0.004531919299832904,0.21075494529271932,0.9962699025549304,0.5040332804524206,0.25081770184236785
5,-0.004565829591869408,0.21113636076174075,0.9961317469003315,0.5036718539705214,0.2507743293766849
6,-0.004097873756730375,0.20802190627132577,0.9970949128237625,0.5088172251449332,0.25283445041031916
7,-0.0032715611499327633,0.2077348277169354,0.995605201244375,0.51012196168428,0.25566595644811185
8,-0.0030952761553003152,0.20929294400188608,0.9951873385952764,0.5078223404909739,0.25462618780953156
9,-0.00328008382640272,0.2109049507779498,0.9949797999040365,0.5075626171920233,0.2554411543157271
10,-0.0033831208783904193,0.20806846320858996,0.9943677776385587,0.5100479143264026,0.2565522575680025
11,-0.003005413896759457,0.2033244291497036,0.9943286680356263,0.5132408764653729,0.26017975542783944
12,-0.0015522633212164474,0.20739368327615848,0.9963702975029403,0.5111644066322076,0.2574328942503256
13,-0.0006477046020726129,0.2069093722039126,0.9973230963009856,0.5135823950336038,0.25939612469941936
14,-0.0006432007608404428,0.20693050928045056,0.9973215312810239,0.5135652912625127,0.25939027256944636
15,0.00022953250089180477,0.21111517155177284,0.9968973972906857,0.5082284475033729,0.25686937827428524
16,0.0003291813381459674,0.21056132953873552,0.9965472549067519,0.5083596869592111,0.256618497663306
17,0.00029073894963649316,0.21559998831478083,0.9976285858045942,0.5046953926567266,0.2544285777999853
18,0.0007541114568173635,0.21381998445331546,0.9983178170830487,0.5059711903899815,0.2550240273732531
19,5.7866815051099696e-05,0.2151871919084728,0.9980955718605883,0.503612266088333,0.2544014901887862
