,0
0,0.41693387277988103
1,0.22114018114642284
2,0.20137092253192934
3,0.19985377113006655
4,0.19762464176447309
5,0.17252481674685227
6,0.16753808238451642
7,0.17712546660275236
8,0.18975567397472418
9,0.2360296492612094
10,0.2171853809840656
11,0.15373944864054698
12,0.15818620264141084
13,0.11200592559380179
14,0.11293932193559174
15,0.10530933782230442
16,0.10561142507087432
17,0.10541214035841513
18,0.10699657375741878
19,0.10654201303001773
20,0.10683926111900488
21,0.1067714354556547
22,0.10635900964364955
23,0.1082717511014209
24,0.10796477694419622
25,0.10707020867565198
26,0.10297288778934122
27,0.10402606417693736
28,0.10414142313645858
29,0.10369446308004784
30,0.10348429733882558
31,0.10294648712715646
32,0.1023221188828646
33,0.101931570310398
34,0.10167437401874044
35,0.101959163718486
36,0.10196848161124634
37,0.10222706589281674
38,0.10197763256546268
39,0.10173620682868398
40,0.10177624224942539
41,0.1017221448164162
42,0.10366251261524567
43,0.10133170278405237
44,0.10134593388789259
45,0.10135292051467928
46,0.10136774872713988
47,0.1010610438793519
48,0.10118164354584892
49,0.10071810016769775
50,0.10119032306540987
51,0.10106113528448032
52,0.10091280033812862
53,0.10061165956108156
54,0.10073985082691818
55,0.10151507226322701
56,0.10061165117957728
57,0.10106451397232355
58,0.100487736953201
59,0.10114863859685017
60,0.10057393474528291
61,0.10053026486222746
62,0.10057711459040289
63,0.1005715733605135
64,0.10058477541647898
65,0.1008041307619772
66,0.10043857614865329
67,0.10058519113899982
68,0.10050748035370444
69,0.1002203401119198
70,0.1008273293720469
71,0.10099098440432654
72,0.10111998238148533
73,0.10112081298830834
74,0.10114018641885408
75,0.10057700644893065
76,0.10042031357814866
77,0.10043623268721852
78,0.10047552785479341
79,0.1003435704188099
80,0.10043212494410565
81,0.10045336556164575
82,0.10049269362896363
83,0.10051560483228858
84,0.10049443407728559
85,0.10049957044201788
86,0.10025469084718355
87,0.10025391179858267
88,0.10024186623793854
89,0.1000408119350889
90,0.1001472840592312
91,0.10011818190853435
92,0.09982102156387407
93,0.10009727503316349
94,0.09991929908907604
95,0.09989110173693037
96,0.10000638729286532
97,0.10046043338634761
98,0.10049899032901928
99,0.10063097344563318
100,0.1012307942932198
101,0.1016298806704959
102,0.1016270693673853
103,0.10155686244504501
104,0.101843531760974
105,0.10119358267443096
106,0.10077463081334856
107,0.10068193905269732
108,0.10068786511846861
109,0.1007543275098002
110,0.10089307350950433
111,0.10100045735272008
112,0.10100982437760989
113,0.10100235329246962
114,0.10070542847654411
115,0.10070177526270085
116,0.10048351327336968
117,0.10050148339166645
118,0.10052585259504092
119,0.10061822671952325
120,0.10098344005324719
121,0.10049091046995684
122,0.10042687785473361
123,0.10040984636488193
124,0.10043014074429299
125,0.10046834447656977
126,0.09976694429634213
127,0.09965345883133116
128,0.09961434926978756
129,0.0996247729434825
130,0.10014529586454558
131,0.1001350516376549
132,0.10020285259856601
133,0.10025871387154453
134,0.1004936909712136
135,0.10050318157002835
136,0.10035192452149685
137,0.10033177323979448
138,0.10035003220336136
139,0.10037619267883391
140,0.10034774033368347
141,0.10035496169171655
142,0.10021922357346393
143,0.10022027317912707
144,0.10006642800533674
145,0.10007031635714883
146,0.10031378299879574
147,0.10044772919432014
148,0.10056987716778526
149,0.1003572312121919
150,0.10054913236377289
151,0.10039102998072225
152,0.10046065725400397
153,0.10005340311068375
154,0.10028142890743016
155,0.10004461295361251
156,0.10031092522978526
157,0.10030829156734611
158,0.10024619677151571
159,0.10025575189198792
160,0.10051696063876134
161,0.10051712954622459
162,0.10055824134345526
163,0.10055817022095052
164,0.10080932935980907
165,0.10078926698024122
166,0.10074710506472945
167,0.1007149393633969
168,0.10065772084601379
169,0.10060316450081633
170,0.10051159168549564
171,0.10049102049139744
172,0.10049467529507713
173,0.10052101943483675
174,0.10058064686839838
175,0.10065825438523074
176,0.10056922101165079
177,0.10054052670314108
178,0.10052956171366789
179,0.10035083360826468
180,0.10032879220237918
181,0.10032060485569663
182,0.1002540023309537
183,0.1002244604729679
184,0.1002253915827834
185,0.10022411238467598
186,0.10022717354513014
187,0.10022391955300838
188,0.10025099161235623
189,0.10013607829359492
190,0.10004452029478064
191,0.10003699238963029
192,0.10001033286987591
193,0.10003224637197333
194,0.10010262035997965
195,0.09997573294753444
196,0.09998436307734934
197,0.10001460709516546
198,0.09989272287619597
199,0.09981366621464897
200,0.09978519048793659
201,0.09971960215448399
202,0.09973635139564077
203,0.09972796880507538
204,0.099725454836213
205,0.09975645177055323
206,0.09975146949831099
207,0.0997520573283156
208,0.09975398710370906
209,0.09995210356653143
210,0.09990696425032
211,0.09986722226675468
212,0.0999268925332519
213,0.09986881333898076
214,0.09987935603400466
215,0.09987990614306201
216,0.09985934434948507
217,0.09986382843563775
218,0.09985808318660218
219,0.09989135461611848
220,0.0998289264115029
221,0.09984434187044734
222,0.09971550279620953
223,0.09981285425341387
224,0.09986112482441079
225,0.09987179837763707
226,0.09989514493497162
227,0.09999342944471329
228,0.10004231995150979
229,0.09992778341859665
230,0.09990773401085987
231,0.09991187934934048
232,0.10016866981602848
233,0.10017355633441105
234,0.10018745112583266
235,0.10006279993278486
236,0.10016896264925179
237,0.10025960528925812
238,0.10028472428170235
239,0.10020725892947718
240,0.10022628592428579
241,0.10022580466861185
242,0.10026498784722486
243,0.10024794629729243
244,0.10028496033498113
245,0.10025009014068711
246,0.10023279152925632
247,0.10038968577634785
248,0.10043056027060232
249,0.10041957301436652
250,0.10038538449566164
251,0.10035073944101905
252,0.10033584172647969
253,0.10040478178303912
254,0.10040643074619415
255,0.10031819037171412
256,0.10021514472272237
257,0.10021791806846786
258,0.10027462046790869
259,0.10032253031185717
260,0.10018495773463587
261,0.10019050034918837
262,0.10019160843027422
263,0.10022895720844804
264,0.10028072297483324
265,0.10031162572618477
266,0.1003117107790499
267,0.100222164505465
268,0.10012656385743735
269,0.10025965080208309
270,0.10025612599360573
271,0.1000316210959061
272,0.10005263434928621
273,0.10004876425104661
274,0.09994971606614522
275,0.09990627065768021
276,0.09994273286514593
277,0.09991112197229822
278,0.0999450676764239
279,0.09994810223790793
280,0.09996773691789258
281,0.10001347589776494
282,0.0999956452988223
283,0.10000144613264589
284,0.10000215145310691
285,0.1000005239928604
286,0.09994502207692234
287,0.0999724340821416
288,0.09993151746991477
289,0.0999650286360253
290,0.09985328140283956
291,0.09985347645043233
292,0.09987884788720675
293,0.09983325899678046
294,0.09994206077570005
295,0.09995094237934604
296,0.09997038375442582
297,0.09998752489807225
298,0.09989693118911788
299,0.09989871833948849
300,0.0998569972351245
301,0.10002738007353312
302,0.10003895043998293
303,0.10006482586344632
304,0.10001911395611143
305,0.09996863646041702
306,0.0999671704375919
307,0.10003489027403566
308,0.09999272666301492
309,0.09998647565816321
310,0.0999580475662655
311,0.09997163514489338
312,0.09996935345842241
313,0.0999767082888328
314,0.09992216324038265
315,0.09995055790112835
316,0.09996025464395467
317,0.09992956260492572
318,0.09994294999783235
319,0.09994342288829568
320,0.09994236046420171
321,0.0999413978190212
322,0.0999354062485263
323,0.09993773198938295
324,0.09993764437913213
325,0.09996012675843245
326,0.09995420947326095
327,0.09994840008395413
328,0.0999456013376977
329,0.09991632873391981
330,0.09990857172446825
331,0.09988605468927919
332,0.09988866381732003
333,0.09980712658134086
334,0.09980498123588924
335,0.09980291666278712
336,0.09985497101516941
337,0.09984490781379458
338,0.09985870232524192
339,0.09989246594963687
340,0.09989024949552455
341,0.09988977362069992
342,0.09992258287541125
343,0.09992655045272374
344,0.09977974635966755
345,0.09979701907444224
346,0.0997743709015011
347,0.09977933463872003
348,0.09977969248557368
349,0.0999260366137831
350,0.09992607411428961
351,0.09990141202189608
352,0.09990632476278345
353,0.09989975773426435
354,0.09988314305920881
355,0.09986803071914283
356,0.09984985344116681
357,0.09983547793245753
358,0.09982951658094943
359,0.09982562351607481
360,0.09982661154559075
361,0.09981091466538403
362,0.09981145703222019
363,0.09981971683441186
364,0.09980085046657955
365,0.09979168978775059
366,0.09979425945151969
367,0.09979405921212149
368,0.09980003770408505
369,0.09977668134553158
370,0.09978206113076929
371,0.09978943547784815
372,0.09977098093670966
373,0.09977097684706127
374,0.09978269597735084
375,0.0997979995420083
376,0.09976046265740451
377,0.09975543406182288
